,agents,agentFn,agentLn,creationDate,missionCount,lastMissionDate,lastMissionBuilding,lastMissionCompany,cookieDirectory
0,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36",Clara,Willman,02-03-22,404,04-23-22,LeonardPointe,udr,Resources/cookieDirectory/ClaraWillman0Cookies.pkl
1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",Timothy,Isom,02-03-22,211,04-22-22,100Pier4,udr,Resources/cookieDirectory/TimothyIsom1Cookies.pkl
2,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.3319.102 Safari/537.36",Nicole,Smith,02-03-22,517,04-20-22,CurrentsontheCharles,udr,Resources/cookieDirectory/NicoleSmith2Cookies.pkl
3,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",Jose,Jones,02-03-22,258,04-09-22,VitruvianWest,udr,Resources/cookieDirectory/JoseJones3Cookies.pkl
4,"Mozilla/5.0 (X11; OpenBSD i386) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36",Jason,Na,02-03-22,112,04-05-22,LeonardPointe,udr,Resources/cookieDirectory/JasonNa4Cookies.pkl
5,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.93 Safari/537.36",Eric,Little,02-03-22,464,04-18-22,ThePark,udr,Resources/cookieDirectory/EricLittle5Cookies.pkl
